YYYY-MM-DD	hh:mm:ss	Status	Interval [s]	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	RI [mm/h]	RA [mm]	RAT [mm]
2022-03-16	18:29:00		60	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0105	0,0002	0,0002
2022-03-16	18:30:00		60	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0084	0,0001	0,0003
2022-03-16	18:31:00		60	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0110	0,0002	0,0005
2022-03-16	18:32:00		60	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0090	0,0002	0,0006
2022-03-16	18:33:00		60	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0119	0,0002	0,0008
2022-03-16	18:34:00		60	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0143	0,0002	0,0011
2022-03-16	18:35:00		60	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0090	0,0002	0,0012
2022-03-16	18:36:00		60	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0125	0,0002	0,0014
2022-03-16	18:37:00		60	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0110	0,0002	0,0016
2022-03-16	18:38:00		60	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0047	0,0001	0,0017
2022-03-16	18:39:00		60	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0047	0,0001	0,0018
2022-03-16	18:40:00		60	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0044	0,0001	0,0019
2022-03-16	18:41:00		60	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0015	0,0000	0,0019
2022-03-16	18:42:00		60	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0026	0,0000	0,0019
2022-03-16	18:43:00		60	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0026	0,0000	0,0020
2022-03-16	18:44:00		60	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0035	0,0001	0,0020
2022-03-16	18:45:00		60	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0044	0,0001	0,0021
2022-03-16	18:46:00		60	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0073	0,0001	0,0022
2022-03-16	18:47:00		60	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0041	0,0001	0,0023
2022-03-16	18:48:00		60	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0035	0,0001	0,0023
2022-03-16	18:49:00		60	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0052	0,0001	0,0024
2022-03-16	18:50:00		60	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0206	0,0003	0,0028
