YYYY-MM-DD	hh:mm:ss	Status	Interval [s]	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	RI [mm/h]	RA [mm]	RAT [mm]
2021-12-17	15:46:00		60	5	18	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0306	0,0005	465,1073
2021-12-17	15:47:00		60	6	14	7	3	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0659	0,0011	465,1084
2021-12-17	15:48:00		60	15	23	9	13	9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0947	0,0016	465,1099
2021-12-17	15:49:00		60	10	13	6	2	8	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0,0814	0,0014	465,1113
2021-12-17	15:50:00		60	10	8	6	6	10	5	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0,1802	0,0030	465,1143
2021-12-17	15:51:00		60	13	5	7	14	12	14	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0,1814	0,0030	465,1173
2021-12-17	15:52:00		60	10	13	6	14	16	12	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0,2553	0,0043	465,1216
2021-12-17	15:53:00		60	10	11	5	15	16	20	6	2	2	2	1	0	0	0	0	0	0	0	0	0	0,4099	0,0068	465,1284
2021-12-17	15:54:00		60	27	13	10	12	14	11	17	5	3	1	5	1	0	0	0	0	0	0	0	0	0,7482	0,0125	465,1409
2021-12-17	15:55:00		60	23	9	12	18	16	27	20	4	6	3	5	0	0	0	0	0	0	0	0	0	0,9010	0,0150	465,1559
2021-12-17	15:56:00		60	23	9	15	16	14	22	17	9	6	3	3	2	0	0	0	0	0	0	0	0	0,9759	0,0163	465,1722
2021-12-17	15:57:00		60	19	16	10	20	17	31	20	9	13	6	2	0	0	0	0	0	0	0	0	0	1,1070	0,0185	465,1906
2021-12-17	15:58:00		60	16	13	21	27	17	27	28	22	3	2	1	0	0	0	0	0	0	0	0	0	0,9971	0,0166	465,2072
2021-12-17	15:59:00		60	13	15	19	24	29	26	29	17	8	1	1	0	0	0	0	0	0	0	0	0	1,0328	0,0172	465,2244
2021-12-17	16:00:00		60	8	11	14	24	24	22	28	10	4	1	0	0	0	0	0	0	0	0	0	0	0,7480	0,0125	465,2369
2021-12-17	16:01:00		60	5	12	17	18	18	20	21	9	3	3	0	0	0	0	0	0	0	0	0	0	0,6739	0,0112	465,2481
2021-12-17	16:02:00		60	7	15	16	24	25	23	24	7	2	0	0	0	0	0	0	0	0	0	0	0	0,6085	0,0101	465,2583
2021-12-17	16:03:00		60	7	18	14	13	19	27	20	7	0	0	0	0	0	0	0	0	0	0	0	0	0,5127	0,0085	465,2668
2021-12-17	16:04:00		60	4	16	20	17	13	23	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0,4693	0,0078	465,2747
2021-12-17	16:05:00		60	7	15	17	11	17	17	17	3	0	0	0	0	0	0	0	0	0	0	0	0	0,3714	0,0062	465,2808
2021-12-17	16:06:00		60	13	16	8	14	10	13	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0,2867	0,0048	465,2856
2021-12-17	16:07:00		60	5	7	9	15	13	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2342	0,0039	465,2895
