YYYY-MM-DD	hh:mm:ss	Status	Interval [s]	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	RI [mm/h]	RA [mm]	RAT [mm]
2022-03-03	13:47:00		60	43	1	3	1	0	4	27	25	13	19	16	4	0	0	0	0	0	0	0	0	2,4658	0,0411	544,1450
2022-03-03	13:48:00		60	50	0	0	0	0	0	7	5	1	0	0	0	0	0	0	0	0	0	0	0	0,1712	0,0029	544,1479
2022-03-03	13:49:00		60	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0180	0,0003	544,1482
2022-03-03	13:50:00		60	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0503	0,0008	544,1490
2022-03-03	13:51:00		60	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0538	0,0009	544,1499
2022-03-03	13:52:00		60	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0584	0,0010	544,1509
2022-03-03	13:53:00		60	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0657	0,0011	544,1520
2022-03-03	13:54:00		60	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0459	0,0008	544,1527
2022-03-03	13:55:00		60	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0430	0,0007	544,1535
2022-03-03	13:56:00		60	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0203	0,0003	544,1538
2022-03-03	13:57:00		60	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0314	0,0005	544,1543
2022-03-03	13:58:00		60	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0305	0,0005	544,1548
2022-03-03	13:59:00		60	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0235	0,0004	544,1552
2022-03-03	14:00:00		60	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0180	0,0003	544,1555
2022-03-03	14:01:00		60	63	10	5	9	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0800	0,0013	544,1569
2022-03-03	14:02:00		60	87	105	51	29	6	2	14	13	1	0	0	0	0	0	0	0	0	0	0	0	0,5556	0,0093	544,1661
2022-03-03	14:03:00		60	37	113	107	123	96	137	121	80	62	32	47	14	5	1	0	0	0	0	0	0	9,6090	0,1602	544,3263
2022-03-03	14:04:00		60	1	13	15	34	41	99	140	173	146	144	283	180	72	27	15	2	0	0	0	0	52,6908	0,8782	545,2045
2022-03-03	14:05:00		60	2	7	24	39	45	92	173	154	134	177	273	173	53	18	13	0	1	0	0	0	48,4557	0,8076	546,0120
2022-03-03	14:06:00		60	17	35	37	48	51	93	128	106	118	162	196	59	5	2	0	0	0	0	0	0	24,3804	0,4063	546,4184
2022-03-03	14:07:00		60	4	15	31	52	61	108	130	115	108	152	240	74	6	5	0	0	0	0	0	0	27,6847	0,4614	546,8798
2022-03-03	14:08:00		60	2	10	13	41	46	94	163	166	158	154	266	187	65	21	10	2	0	0	0	0	50,4186	0,8403	547,7201
2022-03-03	14:09:00		60	0	0	11	23	20	104	196	170	157	205	347	208	79	26	4	1	1	0	0	0	58,3587	0,9726	548,6928
2022-03-03	14:10:00		60	0	3	8	25	36	77	196	180	123	174	312	222	75	27	11	5	0	0	0	0	58,1688	0,9695	549,6622
2022-03-03	14:11:00		60	1	2	6	16	46	73	183	175	132	168	300	210	64	21	7	1	0	0	0	0	52,5720	0,8762	550,5384
2022-03-03	14:12:00		60	2	5	10	42	35	77	152	157	162	161	280	151	41	8	4	0	0	0	0	0	42,0450	0,7007	551,2392
2022-03-03	14:13:00		60	4	1	26	23	28	63	186	169	147	154	228	97	21	1	1	0	0	0	0	0	31,8706	0,5312	551,7704
2022-03-03	14:14:00		60	23	26	29	56	57	150	186	104	86	53	77	24	3	1	0	0	0	0	0	0	13,1749	0,2196	551,9899
2022-03-03	14:15:00		60	27	42	41	50	58	150	173	83	82	88	82	12	0	0	0	0	0	0	0	0	12,5717	0,2095	552,1995
2022-03-03	14:16:00		60	50	43	62	96	76	153	87	36	44	19	4	0	0	0	0	0	0	0	0	0	4,1900	0,0698	552,2693
2022-03-03	14:17:00		60	98	67	89	106	32	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5286	0,0088	552,2781
2022-03-03	14:18:00		60	115	71	77	34	4	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0,3896	0,0065	552,2846
2022-03-03	14:19:00		60	129	73	41	52	56	91	44	0	0	0	0	0	0	0	0	0	0	0	0	0	1,1967	0,0199	552,3046
2022-03-03	14:20:00		60	147	44	57	77	49	119	78	18	0	0	0	0	0	0	0	0	0	0	0	0	1,9233	0,0321	552,3366
2022-03-03	14:21:00		60	126	28	57	95	47	88	42	1	0	0	0	0	0	0	0	0	0	0	0	0	1,2194	0,0203	552,3569
