YYYY-MM-DD	hh:mm:ss	Status	Interval [s]	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	RI [mm/h]	RA [mm]	RAT [mm]
2022-03-30	18:29:00		60	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0060	0,0001	206,4345
2022-03-30	18:30:00		60	0	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0153	0,0003	206,4347
2022-03-30	18:31:00		60	1	1	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0196	0,0003	206,4350
2022-03-30	18:32:00		60	2	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0180	0,0003	206,4353
2022-03-30	18:33:00		60	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0080	0,0001	206,4355
2022-03-30	18:34:00		60	3	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0090	0,0002	206,4356
2022-03-30	18:35:00		60	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0092	0,0002	206,4358
2022-03-30	18:36:00		60	3	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0095	0,0002	206,4359
2022-03-30	18:37:00		60	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0066	0,0001	206,4360
2022-03-30	18:38:00		60	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0028	0,0000	206,4361
2022-03-30	18:39:00		60	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0049	0,0001	206,4362
2022-03-30	18:40:00		60	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0021	0,0000	206,4362
2022-03-30	18:41:00		60	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0034	0,0001	206,4363
2022-03-30	18:42:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4363
2022-03-30	18:43:00		60	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0011	0,0000	206,4363
2022-03-30	18:44:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4363
2022-03-30	18:45:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4363
2022-03-30	18:46:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4363
2022-03-30	18:47:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4363
2022-03-30	18:48:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4363
2022-03-30	18:49:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4363
2022-03-30	18:50:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4363
2022-03-30	18:51:00		60	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0105	0,0002	206,4365
2022-03-30	18:52:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4365
2022-03-30	18:53:00		60	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0101	0,0002	206,4366
2022-03-30	18:54:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	206,4366
2022-03-30	18:55:00		60	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0076	0,0001	206,4368
2022-03-30	18:56:00		60	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0135	0,0002	206,4370
2022-03-30	18:57:00		60	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0249	0,0004	206,4374
2022-03-30	18:58:00		60	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0152	0,0003	206,4376
2022-03-30	18:59:00		60	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0112	0,0002	206,4378
2022-03-30	19:00:00		60	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0171	0,0003	206,4381
2022-03-30	19:01:00		60	1	1	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0130	0,0002	206,4383
2022-03-30	19:02:00		60	1	0	1	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0,0280	0,0005	206,4388
2022-03-30	19:03:00		60	0	0	3	4	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0,0527	0,0009	206,4397
2022-03-30	19:04:00		60	0	2	0	5	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0,1016	0,0017	206,4414
2022-03-30	19:05:00		60	1	1	4	7	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0,0864	0,0014	206,4428
2022-03-30	19:06:00		60	1	2	5	3	1	7	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0,1466	0,0024	206,4453
2022-03-30	19:07:00		60	0	0	2	2	4	4	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0,1553	0,0026	206,4478
2022-03-30	19:08:00		60	0	6	1	5	9	0	10	4	1	1	0	0	0	0	0	0	0	0	0	0	0,2364	0,0039	206,4518
2022-03-30	19:09:00		60	3	5	2	6	4	3	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0,1394	0,0023	206,4541
2022-03-30	19:10:00		60	2	1	4	2	2	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0,1058	0,0018	206,4559
2022-03-30	19:11:00		60	1	2	4	4	2	6	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0,1295	0,0022	206,4580
2022-03-30	19:12:00		60	3	10	4	5	2	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0,1152	0,0019	206,4599
2022-03-30	19:13:00		60	3	4	7	7	3	1	8	0	1	2	1	0	0	0	0	0	0	0	0	0	0,2297	0,0038	206,4638
2022-03-30	19:14:00		60	4	4	4	5	7	6	4	5	1	1	0	0	0	0	0	0	0	0	0	0	0,2249	0,0037	206,4675
2022-03-30	19:15:00		60	4	2	0	2	2	1	4	3	1	4	0	0	0	0	0	0	0	0	0	0	0,2333	0,0039	206,4714
2022-03-30	19:16:00		60	1	2	3	4	3	5	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0,1297	0,0022	206,4736
2022-03-30	19:17:00		60	1	6	4	2	5	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0,1201	0,0020	206,4756
2022-03-30	19:18:00		60	2	2	3	3	5	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0,1074	0,0018	206,4774
2022-03-30	19:19:00		60	4	2	3	5	4	11	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0,1950	0,0032	206,4806
2022-03-30	19:20:00		60	1	1	4	11	5	9	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0,1701	0,0028	206,4835
2022-03-30	19:21:00		60	2	6	3	5	5	7	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0,1642	0,0027	206,4862
2022-03-30	19:22:00		60	4	3	4	5	8	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0,1445	0,0024	206,4886
2022-03-30	19:23:00		60	1	4	4	6	3	3	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0,1461	0,0024	206,4910
2022-03-30	19:24:00		60	2	4	4	5	2	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0,1351	0,0023	206,4933
2022-03-30	19:25:00		60	3	2	6	2	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0757	0,0013	206,4945
2022-03-30	19:26:00		60	1	3	1	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0404	0,0007	206,4952
2022-03-30	19:27:00		60	0	2	4	3	1	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0,0825	0,0014	206,4966
2022-03-30	19:28:00		60	1	5	3	2	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0630	0,0010	206,4976
2022-03-30	19:29:00		60	2	1	5	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0347	0,0006	206,4982
2022-03-30	19:30:00		60	5	2	3	4	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0380	0,0006	206,4989
2022-03-30	19:31:00		60	3	2	3	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0365	0,0006	206,4995
2022-03-30	19:32:00		60	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0098	0,0002	206,4996
2022-03-30	19:33:00		60	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0082	0,0001	206,4998
2022-03-30	19:34:00		60	2	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0102	0,0002	206,4999
2022-03-30	19:35:00		60	1	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0120	0,0002	206,5001
2022-03-30	19:36:00		60	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0076	0,0001	206,5003
2022-03-30	19:37:00		60	1	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0121	0,0002	206,5005
2022-03-30	19:38:00		60	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0048	0,0001	206,5005
