YYYY-MM-DD	hh:mm:ss	Status	Interval [s]	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	RI [mm/h]	RA [mm]	RAT [mm]
2021-09-23	14:40:00		60	13	6	1	2	8	6	0	1	0	2	3	4	0	0	0	0	1	0	0	0	0,9353	0,0156	0,0156
2021-09-23	14:41:00		60	14	6	0	3	8	3	2	1	3	4	1	4	0	0	1	0	0	0	1	0	1,5230	0,0254	0,0410
2021-09-23	14:42:00		60	18	5	0	1	8	8	1	1	2	3	1	4	0	0	0	0	1	0	1	0	1,6565	0,0276	0,0686
2021-09-23	14:49:00		60	15	3	1	2	7	6	1	1	1	2	2	9	0	0	0	0	0	0	0	0	0,9023	0,0150	0,0150
2021-09-23	14:50:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	0,0150
2021-09-23	14:51:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	0,0150
2021-09-23	14:52:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	0,0150
2021-09-23	14:53:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	0,0150
2021-09-23	14:54:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	0,0150
2021-09-23	14:55:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	0,0150
2021-09-23	14:56:00		60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0000	0,0000	0,0150
